,room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
84,13976548,1476,10358428,Entire home/apt,Amsterdam,Slotervaart,1,0.0,6,3,193,Amsterdam 3 bedrooms appartement,2017-07-23 09:48:12.108899,52.363586,4.836393
85,19955084,1476,141459801,Entire home/apt,Amsterdam,Oud Oost,0,0.0,4,2,204,Great apartment with balcony nearby centre & park,2017-07-23 09:44:37.165372,52.356592,4.921396
86,16486446,1476,16347904,Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0.0,2,1,193,Romantic studio in Amsterdam,2017-07-23 09:41:52.345217,52.368764,4.870893
87,14193842,1476,2316820,Entire home/apt,Amsterdam,Oud Noord,2,0.0,6,4,203,Ex barbershop in booming and green Amsterdam North,2017-07-23 09:41:08.993025,52.391342,4.940419
88,19958831,1476,139621449,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,1,191,Lovely bright Amsterdam Apartment with garden!,2017-07-23 09:40:03.367991,52.377804,4.851015
89,16416572,1476,15586027,Entire home/apt,Amsterdam,Slotervaart,1,0.0,2,1,150,Spacious apartment with gorgeous view of Amsterdam,2017-07-23 09:38:35.623276,52.34953,4.835548
90,14975839,1476,6715716,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,8,4.5,4,2,180,Absolutely fabulous,2017-07-23 09:36:20.310313,52.324397,4.866871
91,19675939,1476,138355297,Entire home/apt,Amsterdam,De Baarsjes / Oud West,1,0.0,4,1,184,Cozy Aparment in Centrum Amsterdam The Best,2017-07-23 09:28:04.086378,52.364351,4.864372
92,2338860,1476,3567352,Entire home/apt,Amsterdam,Westerpark,9,5.0,2,1,168,Light & Modern Amsterdam Apartment,2017-07-23 09:22:04.879252,52.381631,4.86808
93,1331954,1476,7223904,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.5,3,1,150,Appt.ment at park 10min from centre,2017-07-23 09:11:29.253050,52.359367999999996,4.943298
94,19550880,1476,87318173,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,3,1,162,Beautiful spacious apartment near city center,2017-07-23 09:09:11.092421,52.343227,4.901935
95,16439196,1476,12782398,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,4,4.5,4,2,150,Houseboat Amsterdam,2017-07-23 09:08:47.952539,52.352703000000005,4.90859
96,4683482,1476,17317413,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,9,5.0,4,2,145,Light and spacious family house,2017-07-23 08:58:09.226421,52.351876000000004,5.006576
97,19449107,1476,11285542,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,4,2,150,Modern and spacious apartment at IJburg,2017-07-23 08:57:59.918700,52.349957,5.007643
98,19896263,1476,67710706,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,1,150,Beautiful modern apartment with balcony in West,2017-07-23 08:44:29.437910,52.364619,4.8597529999999995
99,6789238,1476,7807750,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,0,0.0,2,1,162,Luxury apartment near city center,2017-07-23 08:38:41.302404,52.371282,4.93478
100,3180607,1476,16125509,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,4,4.5,7,5,168,Lovely modern family house with private parking,2017-07-23 08:37:50.844709,52.35217,4.999629
101,2793217,1476,12859334,Entire home/apt,Amsterdam,Centrum West,23,4.5,2,0,177,Light & peaceful canal view apartment,2017-07-23 08:35:36.275537,52.376118,4.884034
102,19958070,1476,54447097,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,5,3,168,Verblijf op een rustige plek in Amsterdam!,2017-07-23 08:12:18.824739,52.358012,4.996575
103,2550665,1476,12997063,Entire home/apt,Amsterdam,Noord Oost,11,4.5,6,3,168,*Beautiful *lakeside*family-house,2017-07-23 08:12:01.562200,52.414304,5.027689
104,6830664,1476,30593386,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,4,2,133,Beautiful apartment near vondelpark,2017-07-23 08:10:19.577861,52.359734,4.857653
105,14466309,1476,84867501,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,1,0.0,4,2,141,High class apartment Amsterdam south,2017-07-23 08:10:00.871083,52.329131,4.858853
106,15795052,1476,102188046,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,2,0,143,"Bright,Cozy & Central studio apartment in the Pijp",2017-07-23 07:55:28.991358,52.351817,4.888928
107,1290535,1476,7017633,Entire home/apt,Amsterdam,De Baarsjes / Oud West,80,5.0,2,1,144,"Cosy, near city center, parks, WIFI",2017-07-23 07:45:31.725271,52.367791,4.850668
108,19963227,1476,87318173,Entire home/apt,Amsterdam,Westerpark,0,0.0,3,0,144,Cozy studio in Jordaan,2017-07-23 07:38:30.387071,52.379486,4.872854
109,19974165,1476,7679356,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,3,1,144,Good place  to stay,2017-07-23 07:38:25.644463,52.369768,4.848639
110,7937540,1476,3276046,Entire home/apt,Amsterdam,Westerpark,8,5.0,2,1,137,Great apartment in Beautiful quite Westerpark Area,2017-07-23 07:36:26.151112,52.384346,4.871207
111,19941222,1476,31778095,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,1,144,NEW Lovely private apartment in trendy De Pijp,2017-07-23 07:35:33.993060,52.355087,4.888014
112,9402905,1476,12426795,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,11,5.0,3,1,132,Cosy & light apartment eastside!,2017-07-23 07:35:02.659907,52.361715000000004,4.9329529999999995
113,19742629,1476,40406824,Entire home/apt,Amsterdam,Watergraafsmeer,0,0.0,4,1,143,"Sunlit, spacious apartment in a hip, popular area.",2017-07-23 07:34:50.528843,52.356427000000004,4.935222
114,19779950,1476,87318173,Entire home/apt,Amsterdam,Oud Oost,0,0.0,3,1,144,Cozy apartment in Amsterdam-East with garden,2017-07-23 07:34:04.154278,52.357704999999996,4.925599
115,19937891,1476,141284234,Entire home/apt,Amsterdam,Centrum West,0,0.0,2,1,144,Stylish apt. at the famous Jordaan District | 2P,2017-07-23 07:33:44.092866,52.377742,4.880498
116,19959608,1476,141498120,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,2,144,Stylish canal house in trendy West,2017-07-23 07:32:18.321035,52.36163,4.858436
117,2016153,1476,2740598,Entire home/apt,Amsterdam,Centrum Oost,59,5.0,2,0,108,Central & spacious design loft in museum district,2017-07-23 07:19:50.713009,52.359513,4.891166
118,16630995,1476,18905733,Entire home/apt,Amsterdam,Oud Oost,8,5.0,2,1,112,Quiet apt next to Amstel River,2017-07-23 07:19:50.706651,52.356871999999996,4.909358999999999
119,19130306,1476,90763639,Entire home/apt,Amsterdam,Bijlmer Oost,5,4.0,5,0,119,"Amsterdam Studio, Parking Free!",2017-07-23 07:15:58.572813,52.323668,4.959912999999999
